RMS_DE,Variance_DE,Mean_DE,STD_DE,Kurtosis_DE,Skewness_DE,Peak_DE,CrestFactor_DE,SNR_DE,Entropy_DE,Energy_DE,DE_Label
-0.67439,-0.53529,-0.71916,-0.66696,2.1777,2.0322,-0.37421,1.7635,-1.7777,-1.3799,-0.71352,1
-0.67247,-0.53521,-0.71857,-0.6649,2.144,2.0343,-0.21018,1.7053,-1.7924,-1.3535,-0.71511,1
-0.66647,-0.53494,-0.71409,-0.6587,2.0682,1.9346,0.50808,1.6921,-1.5601,-1.3621,-0.71072,1
-0.67398,-0.53528,-0.71803,-0.66661,1.8782,1.8053,-0.43964,1.6698,-1.7776,-1.3255,-0.71551,1
-0.66267,-0.53475,-0.71169,-0.65472,1.9488,1.8616,0.89624,1.64,-2.0829,-1.2921,-0.71159,1
-0.66553,-0.53488,-0.71559,-0.65754,2.2572,2.1025,0.82589,1.8337,-1.8943,-1.3797,-0.71323,1
-0.66642,-0.53492,-0.71614,-0.65846,2.1347,2.0321,0.674,1.805,-1.4891,-1.3641,-0.71353,1
-0.67135,-0.53516,-0.7162,-0.66387,1.9915,1.8902,-0.23364,1.5808,-1.6574,-1.3429,-0.71312,1
-0.68148,-0.53558,-0.72177,-0.67452,2.0233,1.8849,-1.2948,1.7249,-1.9292,-1.3603,-0.71506,1
-0.66676,-0.53494,-0.71642,-0.65881,2.0068,1.9623,0.37751,1.6239,-1.6135,-1.3585,-0.71222,1
-0.6716,-0.53517,-0.717,-0.66408,2.0404,1.8944,-0.099055,1.7085,-1.5281,-1.3808,-0.71413,1
-0.66437,-0.53483,-0.71436,-0.65636,2.0747,1.9823,0.64467,1.6092,-2.0944,-1.3452,-0.71254,1
-0.66456,-0.53482,-0.71756,-0.65632,2.2778,2.1417,0.91956,1.8142,-1.7437,-1.5205,-0.71589,1
-0.6609,-0.53465,-0.71199,-0.65276,1.8805,1.8246,0.99762,1.5666,-2.0779,-1.3597,-0.70903,1
-0.67561,-0.53535,-0.7173,-0.66847,1.8042,1.7428,-0.7482,1.5784,-0.9987,-1.318,-0.71272,1
-0.67391,-0.53527,-0.71892,-0.66645,2.1885,2.0446,-0.34214,1.7415,-1.2764,-1.3783,-0.71446,1
-0.67788,-0.53544,-0.71864,-0.67085,1.6422,1.605,-1.194,1.4279,-2.1838,-1.3431,-0.71314,1
-0.67319,-0.53524,-0.7183,-0.66572,2.0372,1.919,-0.41227,1.6151,-1.8127,-1.4186,-0.71484,1
-0.66344,-0.53478,-0.7143,-0.65535,2.072,1.9739,0.75602,1.609,-1.7649,-1.3956,-0.71343,1
-0.66732,-0.53497,-0.71721,-0.65937,2.0843,1.9997,0.61459,1.8436,-1.777,-1.4499,-0.71561,1
-0.66706,-0.53496,-0.71597,-0.65918,2.1604,2.035,0.48425,1.727,-1.7906,-1.363,-0.71294,1
-0.684,-0.53567,-0.72129,-0.67735,1.5838,1.5533,-1.9322,1.4027,-1.7016,-1.334,-0.71578,1
-0.67605,-0.53537,-0.7185,-0.66884,1.8485,1.7705,-0.79172,1.5857,-1.4146,-1.378,-0.71195,1
-0.68087,-0.53555,-0.7215,-0.67388,1.9317,1.828,-1.3432,1.611,-2.1129,-1.357,-0.71573,1
-0.67801,-0.53545,-0.71936,-0.67092,1.7969,1.738,-1.1665,1.4647,-1.9661,-1.3554,-0.71332,1
-0.67223,-0.5352,-0.71712,-0.66476,1.8628,1.801,-0.41252,1.5237,-0.065451,-1.3209,-0.71322,1
-0.67238,-0.53522,-0.71383,-0.66523,1.5193,1.4844,-0.60003,1.3906,-1.4043,-1.2592,-0.7116,1
-0.66838,-0.53502,-0.71666,-0.66057,2.0721,1.99,0.19121,1.6315,-1.7502,-1.3106,-0.71305,1
-0.67777,-0.53544,-0.71866,-0.67073,1.5328,1.503,-1.1717,1.4364,-2.0615,-1.3918,-0.70942,1
-0.68121,-0.53557,-0.72058,-0.67434,1.448,1.4724,-1.723,1.2969,-1.8059,-1.3629,-0.71403,1
-0.67669,-0.53539,-0.71824,-0.66957,1.5914,1.5541,-0.93051,1.5337,-1.4655,-1.3668,-0.71192,1
-0.67764,-0.53544,-0.71803,-0.67064,1.6559,1.6161,-1.1996,1.3988,-2.08,-1.3008,-0.71446,1
-0.6712,-0.53515,-0.71813,-0.66355,2.0249,1.9455,-0.14885,1.6328,-1.9772,-1.3385,-0.71288,1
-0.66541,-0.53489,-0.71196,-0.65772,1.693,1.657,0.28152,1.4434,-0.067681,-1.2761,-0.70874,1
-0.66428,-0.53483,-0.71106,-0.65655,1.6948,1.6331,0.48094,1.4892,-1.9556,-1.2862,-0.70741,1
-0.67573,-0.53535,-0.71993,-0.66836,1.8907,1.8589,-0.72415,1.6099,-1.5674,-1.3287,-0.7132,1
-0.67278,-0.53523,-0.7175,-0.66533,2.0533,1.9308,-0.26652,1.6904,-1.3565,-1.3561,-0.71199,1
-0.67897,-0.53549,-0.7171,-0.6722,1.2212,1.249,-1.5668,1.2097,0.15808,-1.2921,-0.71041,1
-0.68147,-0.53557,-0.72352,-0.67436,2.0449,1.9409,-1.3656,1.6583,-1.7494,-1.4014,-0.71705,1
-0.68046,-0.53554,-0.72163,-0.67342,1.8416,1.7923,-1.4467,1.4719,-1.6814,-1.3797,-0.71654,1
-0.66788,-0.535,-0.7164,-0.66004,2.2037,2.0586,0.29946,1.6658,-1.9479,-1.417,-0.71243,1
-0.67777,-0.53542,-0.72282,-0.67036,2.1794,2.0686,-0.83501,1.7273,-1.8336,-1.4553,-0.71664,1
-0.67911,-0.53549,-0.72078,-0.67201,1.8293,1.7769,-1.1473,1.597,-1.6326,-1.4267,-0.71434,1
-0.68356,-0.53565,-0.72246,-0.67676,1.6995,1.6875,-1.7494,1.5314,-1.8902,-1.3489,-0.71638,1
-0.6824,-0.53561,-0.72162,-0.67556,1.6164,1.6122,-1.7287,1.4202,-1.4122,-1.326,-0.71569,1
-0.68037,-0.53554,-0.72082,-0.67339,1.6685,1.6459,-1.4894,1.4228,-1.831,-1.3972,-0.71512,1
-0.67667,-0.5354,-0.71724,-0.66964,1.2834,1.3214,-1.0891,1.397,-1.9747,-1.3282,-0.71055,1
-0.67667,-0.53539,-0.72073,-0.66933,1.8785,1.8509,-0.8319,1.6153,-1.6362,-1.4013,-0.71608,1
-0.68069,-0.53555,-0.72046,-0.67378,1.6669,1.6401,-1.5095,1.4386,-2.1755,-1.3211,-0.71409,1
-0.68146,-0.53557,-0.7228,-0.67441,1.8344,1.7932,-1.3766,1.6462,-1.3169,-1.4551,-0.71621,1
-0.675,-0.53533,-0.71708,-0.66782,1.4329,1.4556,-0.89803,1.3954,-0.46109,-1.3491,-0.70984,1
-0.68042,-0.53554,-0.71996,-0.67353,1.7338,1.6587,-1.3614,1.545,-1.7797,-1.3493,-0.71431,1
-0.68016,-0.53553,-0.72135,-0.67311,1.7039,1.704,-1.3567,1.5207,-1.331,-1.389,-0.71502,1
-0.67077,-0.53514,-0.71582,-0.66327,1.6818,1.6539,-0.26416,1.5051,-1.8728,-1.3385,-0.70924,1
-0.67596,-0.53537,-0.71748,-0.66884,1.5789,1.5703,-0.95877,1.4377,-0.98728,-1.2922,-0.71093,1
-0.67029,-0.53511,-0.71861,-0.6625,2.0948,1.9938,-0.025961,1.6415,-1.8592,-1.435,-0.71361,1
-0.68208,-0.5356,-0.722,-0.67517,1.7683,1.7254,-1.5256,1.5771,-1.8626,-1.3878,-0.7148,1
-0.68066,-0.53555,-0.7197,-0.67382,1.4252,1.4195,-1.6184,1.3357,-1.854,-1.3579,-0.71271,1
-0.67462,-0.5353,-0.7199,-0.66715,2.1276,2.0044,-0.41414,1.7543,0.13299,-1.4039,-0.71279,1
-0.68128,-0.53558,-0.71855,-0.67462,1.1243,1.1592,-1.7991,1.2339,-1.9273,-1.3607,-0.71272,1
-0.6699,-0.53511,-0.71217,-0.66266,1.1476,1.2224,-0.47954,1.2664,-2.0008,-1.2896,-0.70839,1
-0.67543,-0.53533,-0.71991,-0.66804,2.1435,2.0257,-0.64757,1.6441,-1.2913,-1.3769,-0.71442,1
-0.67441,-0.5353,-0.71743,-0.66713,1.8152,1.7312,-0.62137,1.5646,-1.8593,-1.3682,-0.714,1
-0.66918,-0.53508,-0.71138,-0.66193,0.79519,0.97955,-0.86848,0.91767,-1.2452,-1.2818,-0.70883,1
-0.68095,-0.53556,-0.71941,-0.67416,1.5526,1.5071,-1.4819,1.4918,-0.029109,-1.3612,-0.71139,1
-0.68009,-0.53553,-0.71939,-0.67321,1.6062,1.5827,-1.4326,1.4445,-2.0359,-1.2819,-0.71221,1
-0.67417,-0.5353,-0.71509,-0.66709,1.1299,1.1983,-1.0921,1.1609,0.79601,-1.3055,-0.71122,1
-0.67531,-0.53535,-0.71519,-0.66834,1.3515,1.3601,-1.1093,1.2503,-1.1849,-1.2666,-0.71151,1
-0.6775,-0.53543,-0.7174,-0.67055,1.3544,1.3531,-1.1606,1.4189,-1.6998,-1.3975,-0.71281,1
-0.66811,-0.53502,-0.71377,-0.66053,1.7912,1.6974,0.099498,1.5408,-0.58989,-1.307,-0.70945,1
-0.6781,-0.53545,-0.71894,-0.67106,1.4456,1.4602,-1.2824,1.3732,-1.206,-1.3594,-0.71169,1
-0.68508,-0.53572,-0.71927,-0.67877,0.96794,0.99835,-2.3448,1.1131,0.14855,-1.31,-0.71189,1
-0.67676,-0.53541,-0.71519,-0.66995,0.70555,0.84252,-1.7287,0.86274,-1.7899,-1.3678,-0.70654,1
-0.67732,-0.53542,-0.71949,-0.67015,1.7747,1.7165,-1.0235,1.5178,-1.6699,-1.3612,-0.71328,1
-0.66997,-0.53511,-0.71386,-0.66257,1.7135,1.64,-0.16924,1.5052,-1.8611,-1.2798,-0.70979,1
-0.66525,-0.53489,-0.71098,-0.65763,1.7529,1.662,0.43167,1.5345,-1.2237,-1.2865,-0.7076,1
-0.67582,-0.53537,-0.71595,-0.66883,1.527,1.4703,-0.93967,1.4396,-0.9766,-1.3045,-0.71111,1
-0.67523,-0.53535,-0.71394,-0.66838,1.2986,1.277,-1.0689,1.2765,-1.8141,-1.2887,-0.70489,1
-0.68148,-0.53558,-0.72118,-0.67458,1.7729,1.6839,-1.5256,1.5096,-1.3184,-1.3815,-0.71137,1
-0.6791,-0.53549,-0.71815,-0.67225,1.5951,1.5607,-1.332,1.4317,5.3463,-1.2959,-0.71011,1
-0.67699,-0.53542,-0.71537,-0.67019,0.57552,0.75613,-1.8114,0.81295,-1.572,-1.321,-0.7093,1
-0.67047,-0.53512,-0.71732,-0.66281,1.8903,1.8279,0.0034287,1.6812,-2.1827,-1.4551,-0.7122,1
-0.67426,-0.53529,-0.71679,-0.66703,1.656,1.6184,-0.7372,1.456,-1.7139,-1.2964,-0.71139,1
-0.67204,-0.5352,-0.71441,-0.66481,1.3538,1.3839,-0.67743,1.3005,-0.32996,-1.2707,-0.71,1
-0.68258,-0.53563,-0.71771,-0.67615,0.7306,0.84302,-2.2051,0.98449,-1.9118,-1.3208,-0.71009,1
-0.68154,-0.53558,-0.72138,-0.67463,1.7932,1.712,-1.4308,1.6053,-1.1662,-1.3831,-0.71277,1
-0.67613,-0.53538,-0.71617,-0.66915,1.1687,1.219,-1.2707,1.1919,-1.9461,-1.3505,-0.70983,1
-0.6775,-0.53543,-0.71822,-0.67047,1.3795,1.4034,-1.2697,1.3245,-1.4984,-1.3962,-0.71383,1
-0.67676,-0.5354,-0.71739,-0.66973,1.6177,1.5675,-0.97207,1.5057,-1.4297,-1.3267,-0.71123,1
-0.67367,-0.53527,-0.71591,-0.66646,1.3122,1.3502,-0.74486,1.3945,-1.8556,-1.3787,-0.70872,1
-0.66922,-0.53506,-0.71651,-0.6615,2.1104,1.9911,0.11497,1.6499,-0.027773,-1.3385,-0.70997,1
-0.68359,-0.53565,-0.72398,-0.67666,1.9101,1.8427,-1.7465,1.5385,-1.7567,-1.424,-0.71414,1
-0.67767,-0.53545,-0.71561,-0.67092,0.55543,0.78083,-2.0569,0.66111,-1.9489,-1.2926,-0.70799,1
-0.67615,-0.53538,-0.71575,-0.66922,1.0151,1.1213,-1.2952,1.174,-1.4149,-1.2857,-0.70985,1
-0.67023,-0.5351,-0.71851,-0.66245,2.2699,2.1241,0.21168,1.8159,-0.044161,-1.3819,-0.71429,1
-0.66803,-0.535,-0.71717,-0.66014,2.1408,2.0023,0.30054,1.6797,-0.39401,-1.435,-0.71221,1
-0.66551,-0.5349,-0.71142,-0.65788,1.6224,1.5909,0.33917,1.4922,-2.064,-1.2558,-0.70794,1
-0.67245,-0.53521,-0.71874,-0.66486,2.0411,1.9536,-0.2285,1.6883,-2.1001,-1.3737,-0.7096,1
-0.6744,-0.53529,-0.72078,-0.66683,2.1413,2.0412,-0.44138,1.7096,-1.3355,-1.4059,-0.71071,1
-0.68475,-0.5357,-0.7223,-0.67809,1.6242,1.6103,-1.9323,1.4904,-1.9426,-1.357,-0.71385,1
-0.67933,-0.5355,-0.71804,-0.67251,1.2947,1.32,-1.5096,1.2969,-1.9491,-1.2806,-0.71239,1
-0.66928,-0.53506,-0.71765,-0.66147,2.1043,2.0006,0.058444,1.6133,-2.1305,-1.3859,-0.71183,1
-0.67724,-0.53541,-0.72078,-0.66995,1.8647,1.8039,-0.89384,1.6208,-2.0063,-1.4047,-0.71505,1
-0.67411,-0.53529,-0.71589,-0.66694,1.507,1.4974,-0.70722,1.4658,-0.49467,-1.3175,-0.71049,1
-0.67231,-0.53521,-0.71556,-0.66499,1.2263,1.302,-0.73941,1.2759,-1.9055,-1.423,-0.71098,1
-0.68538,-0.53571,-0.72429,-0.67859,1.8765,1.8099,-1.9763,1.5206,-1.9607,-1.4006,-0.71296,1
-0.67836,-0.53545,-0.72087,-0.67117,1.7644,1.7168,-1.2005,1.4707,-0.74407,-1.345,-0.71333,1
-0.67869,-0.53547,-0.72015,-0.6716,1.615,1.593,-1.2985,1.4189,-1.5149,-1.3765,-0.71385,1
-0.67136,-0.53516,-0.7166,-0.66385,1.9798,1.8849,-0.11154,1.6762,-1.4888,-1.3317,-0.71206,1
-0.6676,-0.53499,-0.71526,-0.65983,2.1155,1.9713,0.38731,1.7047,-1.9144,-1.3565,-0.70598,1
-0.67286,-0.53523,-0.71799,-0.66538,1.9289,1.8502,-0.39061,1.6005,-2.1149,-1.3554,-0.71085,1
-0.68052,-0.53554,-0.72152,-0.6735,1.9103,1.8263,-1.3141,1.5998,-1.1598,-1.397,-0.71194,1
-0.67461,-0.53531,-0.71651,-0.66744,1.5439,1.5153,-0.83101,1.4131,0.55934,-1.3312,-0.71035,1
-0.67659,-0.53539,-0.71834,-0.66945,1.6205,1.5915,-1.0217,1.4463,-1.8201,-1.3223,-0.71125,1
-0.67167,-0.53517,-0.71821,-0.66405,2.1132,1.9909,-0.12957,1.691,-1.3164,-1.3935,-0.71065,1
-0.67578,-0.53536,-0.71803,-0.66859,1.6177,1.585,-0.86075,1.5014,-2.0179,-1.3553,-0.71372,1
-0.67153,-0.53517,-0.71635,-0.66406,2.1306,1.9692,-0.11952,1.6855,-1.2538,-1.3355,-0.71133,1
-0.67716,-0.53541,-0.71814,-0.6701,1.6164,1.5886,-0.95906,1.5567,-1.9627,-1.3101,-0.70947,1
-0.67939,-0.5355,-0.72127,-0.67227,2.069,1.9278,-1.0827,1.6845,-1.4754,-1.406,-0.71222,1
-0.67115,-0.53515,-0.71872,-0.66344,2.11,2.0146,-0.078028,1.6822,-1.579,-1.4128,-0.71094,1
-0.67106,-0.53516,-0.7138,-0.66377,1.4333,1.4215,-0.36284,1.4553,-1.8263,-1.2921,-0.70749,1
-0.66797,-0.535,-0.71558,-0.66021,1.9354,1.8369,0.24259,1.6325,-0.81873,-1.3399,-0.70936,1
-0.6696,-0.53509,-0.71476,-0.66208,1.7478,1.6924,0.088933,1.6655,-1.9311,-1.3256,-0.70778,1
-0.6742,-0.53529,-0.71809,-0.66684,2.0073,1.8904,-0.40116,1.7221,0.57049,-1.335,-0.71386,1
-0.67077,-0.53515,-0.7139,-0.66345,1.5505,1.517,-0.29272,1.4836,-0.070149,-1.25,-0.70934,1
-0.67347,-0.53526,-0.71679,-0.66616,1.6219,1.6136,-0.63007,1.4681,-1.9485,-1.2926,-0.70666,1
-0.67147,-0.53518,-0.71446,-0.66416,1.6249,1.5855,-0.30909,1.5339,-0.85772,-1.2895,-0.70723,1
-0.67688,-0.5354,-0.71934,-0.66968,1.8527,1.7687,-0.8055,1.6593,-1.6128,-1.3669,-0.71213,1
-0.6718,-0.53519,-0.71487,-0.66449,1.6823,1.607,-0.43071,1.4701,-1.9681,-1.3213,-0.7114,1
-0.66869,-0.53505,-0.71276,-0.66125,1.2882,1.3135,-0.23379,1.346,-1.9712,-1.32,-0.70838,1
-0.6732,-0.53525,-0.71592,-0.66594,1.7497,1.6525,-0.46672,1.5726,-1.088,-1.344,-0.71114,1
-0.67606,-0.53536,-0.71973,-0.66875,1.8828,1.8159,-0.71723,1.6499,-1.9473,-1.3903,-0.71154,1
-0.68172,-0.53558,-0.72214,-0.67476,1.9183,1.8062,-1.4985,1.5619,-1.8029,-1.4079,-0.71521,1
-0.66982,-0.5351,-0.71381,-0.6624,1.5776,1.5593,-0.24114,1.4377,-0.044429,-1.3172,-0.70887,1
-0.67164,-0.53518,-0.71544,-0.66427,1.993,1.8516,-0.17222,1.6557,-1.808,-1.291,-0.71,1
-0.67567,-0.53535,-0.71967,-0.66832,1.9093,1.8403,-0.616,1.6941,-1.4683,-1.3746,-0.71386,1
-0.6698,-0.53509,-0.71584,-0.6622,1.9582,1.8568,0.057698,1.6601,0.54454,-1.3779,-0.71242,1
-0.67235,-0.5352,-0.71808,-0.66481,2.2732,2.0946,-0.18257,1.7155,-1.1591,-1.3867,-0.71328,1
-0.67427,-0.53529,-0.7186,-0.66688,1.9171,1.8411,-0.53366,1.6222,-1.9473,-1.4101,-0.71115,1
-0.67856,-0.53547,-0.71926,-0.67154,1.5949,1.5727,-1.1745,1.5148,-1.7834,-1.3424,-0.71207,1
-0.66973,-0.53509,-0.71514,-0.66218,2.1612,1.9857,0.1171,1.6978,5.1345,-1.3237,-0.70949,1
-0.67103,-0.53515,-0.71648,-0.66349,2.0902,1.9619,-0.091365,1.6603,-1.8316,-1.3574,-0.71192,1
-0.67188,-0.53519,-0.7155,-0.66452,1.7269,1.6675,-0.22214,1.6394,-1.3226,-1.2924,-0.71102,1
-0.67352,-0.53526,-0.71694,-0.6662,1.8987,1.8199,-0.40611,1.6517,-2.1686,-1.2981,-0.71274,1
-0.67952,-0.5355,-0.72062,-0.67248,1.9394,1.8333,-1.068,1.7122,-1.8062,-1.331,-0.71619,1
-0.66884,-0.53504,-0.71674,-0.66107,2.0555,1.9794,0.29555,1.7493,-1.6805,-1.3951,-0.71011,1
-0.67384,-0.53527,-0.71868,-0.6664,1.9906,1.9019,-0.48316,1.6212,-2.0004,-1.3874,-0.71267,1
-0.67509,-0.53532,-0.71849,-0.66778,1.9173,1.8204,-0.50756,1.7248,-0.56321,-1.3802,-0.7103,1
-0.68577,-0.53573,-0.72377,-0.67908,1.8081,1.7211,-1.8806,1.6669,-2.1674,-1.3836,-0.71716,1
-0.66931,-0.53506,-0.71794,-0.66149,2.0618,1.9834,0.27855,1.7802,-1.8053,-1.3809,-0.71267,1
-0.67848,-0.53546,-0.7217,-0.67123,2.2313,2.0649,-0.82565,1.8124,-2.1005,-1.3851,-0.71519,1
-0.67166,-0.53518,-0.71704,-0.66414,1.9412,1.8749,-0.033479,1.765,-1.03,-1.338,-0.71057,1
-0.67232,-0.5352,-0.71984,-0.66462,2.3605,2.1724,-0.13351,1.7502,-1.9503,-1.4609,-0.715,1
-0.67206,-0.53519,-0.71822,-0.66448,2.0836,1.9612,-0.19873,1.6751,-1.2523,-1.3759,-0.70901,1
-0.68189,-0.53559,-0.7234,-0.67483,2.1132,1.9967,-1.2353,1.8283,-1.7354,-1.4255,-0.71434,1
-0.67077,-0.53513,-0.71811,-0.66307,2.2825,2.1267,0.022435,1.7227,-1.2643,-1.3585,-0.7108,1
-0.67214,-0.5352,-0.7157,-0.66479,1.7909,1.7149,-0.41429,1.5142,-0.79534,-1.2764,-0.71067,1
-0.30556,-0.48097,-0.18564,-0.32716,-0.78919,-0.93711,0.87499,-0.56648,-0.059666,1.1401,-0.20213,2
-0.33935,-0.48993,-0.22265,-0.36064,-0.81135,-0.95871,0.27019,-0.71748,-0.011119,1.1031,-0.22952,2
-0.31705,-0.4839,-0.20171,-0.33779,-0.79783,-0.92309,1.9041,-0.67597,-0.11325,1.1376,-0.19805,2
-0.35704,-0.49349,-0.25731,-0.37482,-0.68353,-0.79339,0.84431,-0.2962,-0.17843,1.0786,-0.21555,2
-0.32692,-0.48614,-0.21919,-0.34611,-0.70041,-0.8007,1.8501,-0.40074,-0.29732,1.1658,-0.21272,2
-0.29663,-0.47719,-0.19709,-0.31385,-0.41857,-0.49347,0.56146,0.068081,-0.15987,1.1078,-0.2098,2
-0.30318,-0.48015,-0.18567,-0.32424,-0.69697,-0.84912,1.5013,-0.31971,0.19338,1.0582,-0.21089,2
-0.29249,-0.47596,-0.19325,-0.30963,-0.5467,-0.60874,1.547,-0.21979,0.29612,1.1439,-0.16452,2
-0.35572,-0.4939,-0.24227,-0.37649,-0.81791,-0.9669,1.983,-0.7329,-0.31744,1.1249,-0.20859,2
-0.32685,-0.48674,-0.20839,-0.34838,-0.73191,-0.88775,0.80231,-0.39806,0.19765,1.1433,-0.21508,2
-0.31971,-0.48365,-0.22132,-0.33687,-0.57772,-0.67214,1.0286,-0.049908,-0.12502,1.0954,-0.22755,2
-0.27616,-0.47046,-0.18683,-0.29119,-0.23248,-0.32184,0.87296,0.44197,-0.09467,1.1224,-0.19715,2
-0.31949,-0.4846,-0.20356,-0.34039,-0.73715,-0.86527,1.2245,-0.46324,0.2875,1.1421,-0.18505,2
